cluster,violation_count,lat_center,lon_center,lat_std,lon_std,unique_vehicles,peak_violations,dominant_hour,dominant_day,dominant_type,peak_ratio,spread_m,hotspot_score,rank
60,221,13.017411671493212,77.53142927828054,0.0009747957470210677,0.0003174586929177931,171,61,22,Wednesday,['WRONG PARKING'],0.27601809954751133,113.79566957771968,282.0,74
20,215,12.925880298230084,77.67632185245768,0.0003507391218320996,0.00038032144441816935,206,59,20,Friday,['WRONG PARKING'],0.2744186046511628,57.427063313396836,274.0,75
154,226,12.993626796460177,77.66239929867257,0.00032853746802847205,0.0006906304161302224,220,45,2,Thursday,['NO PARKING'],0.19911504424778761,84.89194366310167,271.0,76
51,208,12.937259951442307,77.5849888985577,0.00035826096768088773,0.0003873998814673216,205,59,6,Sunday,['NO PARKING'],0.28365384615384615,58.57073473675627,267.0,77
307,151,13.12154094437086,77.63117182913908,0.0007164918494663426,0.0005642278144623551,146,113,19,Saturday,"['PARKING IN A MAIN ROAD', 'NO PARKING']",0.7483443708609272,101.23014979837603,264.0,78
378,215,12.978318261860464,77.64014598790698,0.0004088349730324305,0.0012577845086608032,198,43,1,Friday,['NO PARKING'],0.2,146.80428386955268,258.0,79
187,212,12.990337500471698,77.57244277594339,0.0007396578366432621,0.0007314148749982242,191,34,5,Tuesday,['NO PARKING'],0.16037735849056603,115.46462201318916,246.00000000000003,80
0,171,12.924977152046782,77.61882235263157,0.0004476623889830208,0.0005775153240958415,148,70,19,Monday,['NO PARKING'],0.4093567251461988,81.10793348972936,241.00000000000003,81
12,222,12.996321993693693,77.56312972162164,0.00011202144371334217,0.0002110288065106107,168,7,4,Wednesday,['NO PARKING'],0.03153153153153153,26.519932915398797,228.99999999999997,82
61,135,13.063247465185185,77.59129917555555,0.00042153794845531444,0.0013142811002087823,129,93,8,Friday,['WRONG PARKING'],0.6888888888888889,153.20529675586508,228.0,83
432,202,12.960840185031023,77.52828177905133,0.00018038614019491448,0.0007198546797536746,186,22,6,Friday,['WRONG PARKING'],0.10891089108910891,82.37440948877153,224.00000000000003,84
250,194,12.941588065979381,77.56708885463918,0.0011768163724574484,0.0005619645946180179,185,29,23,Thursday,['NO PARKING'],0.14948453608247422,144.75612862903418,222.99999999999997,85
326,187,12.91303971025773,77.67962567509738,0.0007976312004797736,0.001688554529396064,183,26,4,Saturday,['NO PARKING'],0.13903743315508021,207.28880533795166,213.00000000000003,86
297,164,13.007545301829268,77.52686952743902,0.001120269972965548,0.00042704454205722816,139,47,5,Wednesday,"['PARKING IN A MAIN ROAD', 'NO PARKING']",0.2865853658536585,133.07839270007628,211.0,87
189,160,13.018667766229601,77.55816394753042,0.00041282033362095724,0.0005261759615021059,151,46,20,Sunday,['NO PARKING'],0.2875,74.23583159117752,206.0,88
146,148,13.047501208108107,77.5761007527027,0.00023610513209852053,0.0003717015964395794,125,57,5,Wednesday,['WRONG PARKING'],0.38513513513513514,48.87879803515813,205.0,89
